Date,Time,Temperature,Humidity
12/16/23,12:32,18.7*C,68.9%
12/16/23,12:32,18.8*C,68.6%
12/16/23,12:32,18.7*C,68.6%
12/16/23,12:32,18.7*C,68.6%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:32,18.7*C,68.6%
12/16/23,12:32,18.8*C,68.5%
12/16/23,12:33,18.8*C,68.5%
12/16/23,12:33,18.7*C,68.5%
12/16/23,12:33,18.8*C,68.5%
12/16/23,12:33,18.8*C,68.7%
12/16/23,12:33,18.8*C,69.3%
12/16/23,12:33,18.8*C,69.3%
12/16/23,12:33,18.8*C,69.2%
12/16/23,12:33,18.8*C,68.8%
12/16/23,12:33,18.8*C,68.7%
12/16/23,12:33,18.8*C,68.6%
12/16/23,12:34,18.8*C,68.6%
12/16/23,12:34,18.8*C,68.6%
12/16/23,12:34,18.8*C,69.1%
12/16/23,12:34,18.8*C,69.3%
12/16/23,12:34,18.8*C,69.0%
12/16/23,12:37,18.9*C,69.0%
12/16/23,12:38,18.8*C,68.4%
12/16/23,12:38,18.8*C,68.4%
12/16/23,12:39,18.7*C,68.7%
12/16/23,12:39,18.6*C,68.7%
12/16/23,12:40,18.6*C,68.9%
12/16/23,12:40,18.5*C,69.1%
12/16/23,12:41,18.6*C,69.0%
12/16/23,12:41,18.5*C,69.1%
12/16/23,12:42,18.3*C,61.1%
12/16/23,12:42,18.4*C,61.0%
12/16/23,12:43,17.6*C,50.4%
12/16/23,12:43,17.6*C,50.3%
12/16/23,12:44,16.9*C,50.7%
12/16/23,12:44,16.8*C,50.6%
12/16/23,12:45,16.7*C,50.1%
12/16/23,12:45,16.6*C,49.6%
12/16/23,12:48,15.9*C,48.2%
12/16/23,12:54,16.1*C,56.7%
12/16/23,12:54,16.2*C,57.0%
12/16/23,12:55,16.7*C,57.7%
12/16/23,13:00,17.2*C,59.0%
12/16/23,13:01,17.5*C,59.4%
12/16/23,13:04,17.8*C,60.1%
12/16/23,13:05,17.9*C,60.3%
12/16/23,13:06,17.9*C,60.4%
12/16/23,13:06,17.9*C,60.6%
12/16/23,13:07,17.9*C,60.7%
12/16/23,13:08,17.9*C,60.8%
12/16/23,13:08,17.9*C,60.9%
12/16/23,13:09,18.0*C,61.0%
12/16/23,13:10,18.1*C,61.0%
12/16/23,13:10,18.1*C,61.0%
12/16/23,13:11,18.1*C,61.1%
12/16/23,13:11,18.1*C,61.4%
12/16/23,13:12,18.0*C,61.4%
12/16/23,13:13,18.0*C,61.5%
12/16/23,13:13,18.0*C,61.5%
12/16/23,13:14,18.0*C,61.6%
12/16/23,13:14,18.0*C,61.7%
12/16/23,13:15,18.0*C,61.8%
12/16/23,13:15,18.1*C,61.7%
12/16/23,13:16,18.0*C,61.8%
12/16/23,13:16,18.0*C,62.0%
12/16/23,13:17,18.0*C,62.0%
12/16/23,13:17,18.1*C,62.0%
12/16/23,13:18,18.0*C,62.2%
12/16/23,13:18,18.0*C,62.2%
12/16/23,13:19,18.0*C,62.3%
12/16/23,13:19,18.1*C,62.2%
12/16/23,13:20,18.1*C,62.3%
12/16/23,13:20,18.1*C,62.4%
12/16/23,13:21,18.1*C,62.4%
12/16/23,13:21,18.1*C,62.5%
12/16/23,13:22,18.1*C,62.5%
12/16/23,13:22,18.1*C,62.5%
12/16/23,13:23,18.1*C,62.7%
12/16/23,13:23,18.1*C,62.7%
12/16/23,13:24,18.1*C,62.8%
12/16/23,13:24,18.1*C,62.8%
12/16/23,13:25,18.1*C,62.9%
12/16/23,13:25,18.1*C,62.8%
12/16/23,13:26,18.1*C,62.9%
12/16/23,13:26,18.1*C,63.0%
12/16/23,13:27,18.1*C,63.1%
12/16/23,13:27,18.1*C,63.1%
12/16/23,13:28,18.1*C,63.0%
12/16/23,13:28,18.1*C,63.2%
12/16/23,13:29,18.1*C,63.2%
12/16/23,13:29,18.1*C,63.1%
12/16/23,13:30,18.1*C,63.3%
12/16/23,13:31,18.1*C,63.2%
12/16/23,13:31,18.1*C,63.3%
12/16/23,13:32,18.1*C,63.4%
12/16/23,13:32,18.1*C,63.5%
12/16/23,13:33,18.1*C,63.5%
12/16/23,13:33,18.1*C,63.5%
12/16/23,13:34,18.1*C,63.6%
12/16/23,13:34,18.1*C,63.6%
12/16/23,13:35,18.1*C,63.6%
12/16/23,13:35,18.1*C,63.7%
12/16/23,13:36,18.1*C,63.7%
12/16/23,13:36,18.1*C,63.7%
12/16/23,13:37,18.1*C,63.7%
12/16/23,13:37,18.1*C,63.8%
12/16/23,13:38,18.1*C,63.8%
12/16/23,13:38,18.1*C,63.8%
12/16/23,13:39,18.1*C,63.9%
12/16/23,13:39,18.1*C,63.9%
12/16/23,13:40,18.1*C,63.9%
12/16/23,13:40,18.1*C,64.0%
12/16/23,13:41,18.1*C,64.0%
12/16/23,13:41,18.1*C,64.0%
12/16/23,13:42,18.1*C,64.0%
12/16/23,13:42,18.1*C,64.1%
12/16/23,13:43,18.1*C,64.0%
12/16/23,13:43,18.1*C,64.1%
12/16/23,13:44,18.1*C,64.1%
12/16/23,13:44,18.1*C,64.1%
12/16/23,13:45,18.1*C,64.2%
12/16/23,13:46,18.1*C,64.3%
12/16/23,13:46,18.1*C,64.2%
12/16/23,13:47,18.1*C,64.2%
12/16/23,13:47,18.1*C,64.3%
12/16/23,13:48,18.1*C,64.3%
12/16/23,13:48,18.1*C,64.3%
12/16/23,13:49,18.1*C,64.3%
12/16/23,13:49,18.1*C,64.4%
12/16/23,13:50,18.1*C,64.3%
12/16/23,13:50,18.1*C,64.4%
12/16/23,13:51,18.1*C,64.4%
12/16/23,13:51,18.1*C,64.4%
12/16/23,13:52,18.1*C,64.5%
12/16/23,13:52,18.1*C,64.5%
12/16/23,13:53,18.1*C,64.5%
12/16/23,13:53,18.1*C,64.5%
12/16/23,13:54,18.1*C,64.5%
12/16/23,13:54,18.1*C,64.6%
12/16/23,13:55,18.1*C,64.6%
12/16/23,13:55,18.1*C,64.6%
12/16/23,13:56,18.2*C,64.5%
12/16/23,13:56,18.2*C,64.4%
12/16/23,13:57,18.3*C,64.4%
12/16/23,13:57,18.2*C,64.3%
12/16/23,13:58,18.3*C,64.3%
12/16/23,13:59,18.4*C,64.1%
12/16/23,13:59,18.3*C,64.1%
12/16/23,14:00,18.4*C,64.1%
12/16/23,14:00,18.4*C,64.0%
12/16/23,14:01,18.4*C,64.0%
12/16/23,14:01,18.4*C,64.0%
12/16/23,14:02,18.4*C,64.0%
12/16/23,14:02,18.5*C,63.9%
12/16/23,14:03,18.4*C,64.0%
12/16/23,14:03,18.4*C,63.9%
12/16/23,14:04,18.5*C,63.9%
12/16/23,14:04,18.4*C,64.0%
12/16/23,14:05,18.5*C,64.0%
12/16/23,14:05,18.5*C,63.9%
12/16/23,14:06,18.5*C,64.0%
12/16/23,14:06,18.5*C,64.0%
12/16/23,14:07,18.5*C,64.0%
12/16/23,14:07,18.5*C,64.0%
12/16/23,14:08,18.5*C,64.1%
12/16/23,14:08,18.6*C,64.0%
12/16/23,14:09,18.5*C,64.1%
12/16/23,14:09,18.5*C,64.1%
12/16/23,14:10,18.6*C,64.0%
12/16/23,14:10,18.5*C,64.0%
12/16/23,14:11,18.6*C,64.0%
12/16/23,14:11,18.5*C,64.0%
12/16/23,14:12,18.5*C,64.2%
12/16/23,14:12,18.6*C,64.1%
12/16/23,14:13,18.6*C,64.1%
12/16/23,14:14,18.6*C,64.1%
12/16/23,14:14,18.6*C,64.2%
12/16/23,14:15,18.6*C,64.2%
12/16/23,14:15,18.6*C,64.2%
12/16/23,14:16,18.6*C,64.2%
12/16/23,14:16,18.6*C,64.1%
12/16/23,14:17,18.6*C,64.2%
12/16/23,14:17,18.6*C,64.2%
12/16/23,14:18,18.7*C,64.1%
12/16/23,14:18,18.6*C,64.3%
12/16/23,14:19,18.7*C,64.2%
12/16/23,14:19,18.7*C,64.2%
12/16/23,14:20,18.6*C,64.2%
12/16/23,14:20,18.7*C,64.2%
12/16/23,14:21,18.7*C,64.1%
12/16/23,14:21,18.7*C,64.2%
12/16/23,14:22,18.7*C,64.2%
12/16/23,14:22,18.7*C,64.2%
12/16/23,14:23,18.7*C,64.3%
12/16/23,14:23,18.7*C,64.3%
12/16/23,14:24,18.7*C,64.3%
12/16/23,14:24,18.7*C,64.2%
12/16/23,14:25,18.7*C,64.2%
12/16/23,14:25,18.8*C,64.2%
12/16/23,14:26,18.7*C,64.3%
12/16/23,14:26,18.7*C,64.3%
12/16/23,14:27,18.7*C,64.2%
12/16/23,14:28,18.8*C,64.3%
12/16/23,14:28,18.7*C,64.3%
12/16/23,14:29,18.8*C,64.2%
12/16/23,14:29,18.7*C,64.3%
12/16/23,14:30,18.8*C,64.2%
12/16/23,14:30,18.8*C,64.2%
12/16/23,14:31,18.8*C,64.2%
12/16/23,14:31,18.7*C,64.3%
12/16/23,14:32,18.8*C,64.2%
12/16/23,14:32,18.8*C,64.3%
12/16/23,14:33,18.8*C,64.3%
12/16/23,14:33,18.8*C,64.3%
12/16/23,14:34,18.8*C,64.3%
12/16/23,14:34,18.8*C,64.3%
12/16/23,14:35,18.7*C,64.4%
12/16/23,14:35,18.8*C,64.3%
12/16/23,14:36,18.8*C,64.4%
12/16/23,14:36,18.8*C,64.4%
12/16/23,14:37,18.8*C,64.3%
12/16/23,14:37,18.8*C,64.3%
12/16/23,14:38,18.8*C,64.3%
12/16/23,14:38,18.8*C,64.4%
12/16/23,14:39,18.8*C,64.3%
12/16/23,14:39,18.8*C,64.3%
12/16/23,14:40,18.8*C,64.3%
12/16/23,14:40,18.8*C,64.3%
12/16/23,14:41,18.8*C,64.2%
12/16/23,14:41,18.8*C,64.3%
12/16/23,14:42,18.8*C,64.3%
12/16/23,14:43,18.8*C,64.4%
12/16/23,14:43,18.8*C,64.4%
12/16/23,14:44,18.8*C,64.4%
12/16/23,14:44,18.8*C,64.4%
12/16/23,14:45,18.8*C,64.4%
12/16/23,14:45,18.8*C,64.4%
12/16/23,14:46,18.8*C,64.4%
12/16/23,14:46,18.8*C,64.5%
12/16/23,14:47,18.8*C,64.5%
12/16/23,14:47,18.8*C,64.5%
12/16/23,14:48,18.7*C,64.6%
12/16/23,14:48,18.8*C,64.5%
12/16/23,14:49,18.8*C,64.5%
12/16/23,14:49,18.8*C,64.6%
12/16/23,14:50,18.8*C,64.6%
12/16/23,14:50,18.7*C,64.6%
12/16/23,14:51,18.8*C,64.6%
12/16/23,14:51,18.8*C,64.6%
12/16/23,14:52,18.7*C,64.7%
12/16/23,14:52,18.7*C,64.7%
12/16/23,14:53,18.7*C,64.7%
12/16/23,14:53,18.7*C,64.7%
12/16/23,14:54,18.7*C,64.7%
12/16/23,14:54,18.7*C,64.7%
12/16/23,14:55,18.7*C,64.7%
12/16/23,14:55,18.8*C,64.7%
12/16/23,14:56,18.7*C,64.7%
12/16/23,14:56,18.7*C,64.7%
12/16/23,14:57,18.7*C,64.7%
12/16/23,14:57,18.7*C,64.7%
12/16/23,14:58,18.8*C,64.7%
12/16/23,14:59,18.7*C,64.8%
12/16/23,14:59,18.7*C,64.8%
12/16/23,15:00,18.7*C,64.8%
12/16/23,15:00,18.7*C,64.8%
12/16/23,15:01,18.7*C,64.8%
12/16/23,15:01,18.7*C,64.8%
12/16/23,15:02,18.7*C,64.8%
12/16/23,15:02,18.7*C,64.8%
12/16/23,15:03,18.7*C,64.9%
12/16/23,15:03,18.6*C,65.0%
12/16/23,15:04,18.6*C,65.0%
12/16/23,15:04,18.7*C,65.0%
12/16/23,15:05,18.6*C,65.0%
12/16/23,15:05,18.6*C,65.1%
12/16/23,15:06,18.7*C,65.0%
12/16/23,15:06,18.6*C,65.1%
12/16/23,15:07,18.6*C,65.1%
12/16/23,15:07,18.6*C,65.0%
12/16/23,15:08,18.6*C,65.1%
12/16/23,15:08,18.6*C,65.1%
12/16/23,15:09,18.6*C,65.1%
12/16/23,15:09,18.6*C,65.1%
12/16/23,15:10,18.6*C,65.1%
12/16/23,15:11,18.6*C,65.1%
12/16/23,15:11,18.6*C,65.2%
12/16/23,15:12,18.6*C,65.1%
12/16/23,15:12,18.6*C,65.2%
12/16/23,15:13,18.6*C,65.1%
12/16/23,15:13,18.6*C,65.2%
12/16/23,15:14,18.5*C,65.2%
12/16/23,15:14,18.6*C,65.3%
12/16/23,15:15,18.5*C,65.3%
12/16/23,15:15,18.6*C,65.2%
12/16/23,15:16,18.6*C,65.2%
12/16/23,15:16,18.6*C,65.2%
12/16/23,15:17,18.6*C,65.2%
12/16/23,15:17,18.5*C,65.3%
12/16/23,15:18,18.5*C,65.3%
12/16/23,15:18,18.5*C,65.3%
12/16/23,15:19,18.5*C,65.3%
12/16/23,15:19,18.5*C,65.4%
12/16/23,15:20,18.5*C,65.4%
12/16/23,15:20,18.6*C,65.3%
12/16/23,15:21,18.5*C,65.5%
12/16/23,15:21,18.5*C,65.5%
12/16/23,15:22,18.5*C,65.5%
12/16/23,15:22,18.5*C,65.4%
12/16/23,15:23,18.5*C,65.5%
12/16/23,15:23,18.4*C,65.6%
12/16/23,15:24,18.5*C,65.5%
12/16/23,15:24,18.4*C,65.6%
12/16/23,15:25,18.4*C,65.6%
12/16/23,15:26,18.5*C,65.5%
12/16/23,15:26,18.4*C,65.6%
12/16/23,15:27,18.4*C,65.5%
12/16/23,15:27,18.4*C,65.6%
12/16/23,15:28,18.5*C,65.5%
12/16/23,15:28,18.4*C,65.6%
12/16/23,15:29,18.4*C,65.6%
12/16/23,15:29,18.4*C,65.5%
12/16/23,15:30,18.5*C,65.5%
12/16/23,15:30,18.4*C,65.5%
12/16/23,15:31,18.4*C,65.6%
12/16/23,15:31,18.4*C,65.6%
12/16/23,15:32,18.4*C,65.6%
12/16/23,15:32,18.4*C,65.6%
12/16/23,15:33,18.4*C,65.6%
12/16/23,15:33,18.4*C,65.7%
12/16/23,15:34,18.4*C,65.6%
12/16/23,15:34,18.4*C,65.6%
12/16/23,15:35,18.4*C,65.7%
12/16/23,15:35,18.4*C,65.7%
12/16/23,15:36,18.4*C,65.7%
12/16/23,15:36,18.4*C,65.7%
12/16/23,15:37,18.4*C,65.6%
12/16/23,15:37,18.4*C,65.8%
12/16/23,15:38,18.4*C,65.7%
12/16/23,15:38,18.4*C,65.8%
12/16/23,15:39,18.4*C,65.7%
12/16/23,15:39,18.3*C,65.8%
12/16/23,15:40,18.4*C,65.8%
12/16/23,15:40,18.3*C,65.9%
12/16/23,15:41,18.3*C,65.9%
12/16/23,15:42,18.4*C,65.8%
12/16/23,15:42,18.3*C,65.9%
12/16/23,15:43,18.4*C,65.8%
12/16/23,15:43,18.4*C,65.9%
12/16/23,15:44,18.4*C,65.8%
12/16/23,15:44,18.3*C,66.0%
12/16/23,15:45,18.4*C,65.9%
12/16/23,15:45,18.4*C,65.9%
12/16/23,15:46,18.4*C,65.8%
12/16/23,15:46,18.4*C,65.7%
12/16/23,15:47,18.4*C,65.7%
12/16/23,15:47,18.4*C,65.7%
12/16/23,15:48,18.5*C,65.7%
12/16/23,15:48,18.5*C,65.7%
12/16/23,15:49,18.5*C,65.7%
12/16/23,15:49,18.5*C,65.8%
12/16/23,15:50,18.5*C,65.8%
12/16/23,15:50,18.5*C,65.7%
12/16/23,15:51,18.6*C,65.6%
12/16/23,15:51,18.6*C,65.6%
12/16/23,15:52,18.7*C,65.5%
12/16/23,15:52,18.7*C,65.5%
12/16/23,15:53,18.7*C,65.4%
12/16/23,15:53,18.7*C,65.4%
12/16/23,15:54,18.7*C,65.5%
12/16/23,15:54,18.8*C,65.3%
12/16/23,15:55,18.7*C,65.4%
12/16/23,15:56,18.7*C,65.4%
12/16/23,18:37,19.4*C,66.3%
12/16/23,18:38,19.4*C,66.3%
12/16/23,18:39,19.4*C,66.4%
12/16/23,18:39,19.4*C,66.4%
12/16/23,18:40,19.5*C,66.2%
12/16/23,18:41,19.6*C,66.6%
12/16/23,18:42,19.7*C,65.9%
12/16/23,18:45,19.9*C,65.1%
12/16/23,19:38,20.1*C,64.3%
12/16/23,19:39,19.1*C,67.1%
12/16/23,19:39,19.2*C,66.8%
12/16/23,19:40,19.2*C,66.7%
12/16/23,19:40,19.1*C,65.9%
12/16/23,19:41,19.0*C,56.8%
12/16/23,19:41,18.4*C,47.6%
12/16/23,19:42,17.9*C,46.4%
12/16/23,19:42,17.4*C,45.4%
12/16/23,19:43,16.9*C,45.1%
12/16/23,19:43,16.5*C,44.9%
12/16/23,19:44,16.5*C,44.8%
12/16/23,19:44,16.1*C,45.7%
12/16/23,19:45,15.4*C,45.9%
12/16/23,19:45,15.0*C,45.2%
12/16/23,19:46,14.6*C,46.0%
12/16/23,19:46,14.6*C,45.9%
12/16/23,19:47,14.7*C,51.0%
12/16/23,19:47,15.0*C,52.4%
12/16/23,19:48,15.3*C,53.1%
12/16/23,19:48,15.6*C,54.2%
12/16/23,19:49,15.6*C,54.2%
12/16/23,19:49,16.1*C,54.2%
12/16/23,19:50,16.1*C,54.3%
12/16/23,19:50,16.5*C,55.4%
12/16/23,19:51,16.7*C,55.8%
12/16/23,19:51,16.7*C,55.7%
12/16/23,19:52,17.1*C,55.7%
12/16/23,19:53,17.3*C,55.6%
12/16/23,19:53,17.5*C,55.5%
12/16/23,19:54,17.6*C,55.4%
12/16/23,19:54,17.9*C,55.2%
12/16/23,19:55,17.9*C,55.2%
12/16/23,19:55,18.0*C,55.2%
12/16/23,19:56,18.2*C,54.9%
12/16/23,19:56,18.3*C,54.8%
12/16/23,19:57,18.4*C,55.0%
12/16/23,19:57,18.4*C,54.9%
12/16/23,19:58,18.4*C,55.0%
12/16/23,19:58,18.5*C,55.1%
12/16/23,19:59,18.6*C,55.0%
12/16/23,19:59,18.7*C,55.3%
12/16/23,20:00,18.7*C,55.2%
12/16/23,20:00,18.8*C,55.3%
12/16/23,20:01,18.8*C,55.4%
12/16/23,20:01,18.9*C,55.5%
12/16/23,20:02,18.9*C,55.7%
12/16/23,20:02,18.9*C,55.9%
12/16/23,20:03,18.8*C,56.0%
12/16/23,20:03,18.8*C,56.3%
12/16/23,20:04,18.8*C,56.2%
12/16/23,20:04,18.8*C,56.4%
12/16/23,20:05,18.7*C,56.8%
12/16/23,20:05,18.7*C,56.8%
12/16/23,20:06,18.7*C,57.1%
12/16/23,20:06,18.7*C,57.1%
12/16/23,20:07,18.6*C,57.3%
12/16/23,20:07,18.6*C,57.5%
12/16/23,20:08,18.6*C,57.7%
12/16/23,20:08,18.6*C,57.8%
12/16/23,20:09,18.6*C,57.8%
12/16/23,20:09,18.5*C,58.0%
12/16/23,20:10,18.5*C,58.2%
12/16/23,20:10,18.6*C,58.1%
12/16/23,20:11,18.5*C,58.4%
12/16/23,20:12,18.5*C,58.6%
12/16/23,20:12,18.5*C,58.9%
12/16/23,20:13,18.5*C,59.0%
12/16/23,20:13,18.5*C,59.4%
12/16/23,20:14,18.5*C,59.3%
12/16/23,20:14,18.5*C,59.4%
12/16/23,20:15,18.6*C,59.3%
12/16/23,20:15,18.5*C,59.5%
12/16/23,20:16,18.5*C,59.6%
12/16/23,20:16,18.5*C,59.8%
12/16/23,20:17,18.5*C,59.8%
12/16/23,20:17,18.5*C,59.9%
12/16/23,20:18,18.5*C,60.1%
12/16/23,20:18,18.5*C,60.1%
12/16/23,20:19,18.5*C,60.3%
12/16/23,20:19,18.5*C,60.5%
12/16/23,20:20,18.5*C,60.6%
12/16/23,20:20,18.5*C,60.7%
12/16/23,20:21,18.5*C,60.8%
12/16/23,20:21,18.5*C,61.1%
12/16/23,20:22,18.5*C,62.2%
12/16/23,20:22,18.6*C,62.2%
12/16/23,20:23,18.5*C,62.3%
12/16/23,20:23,18.5*C,62.4%
12/16/23,20:24,18.5*C,62.7%
12/16/23,20:24,18.6*C,62.9%
12/16/23,20:25,18.7*C,63.2%
12/16/23,20:25,18.6*C,63.2%
12/16/23,20:26,18.7*C,62.8%
12/16/23,20:27,18.7*C,62.8%
12/16/23,20:27,18.7*C,62.7%
12/16/23,20:28,18.7*C,63.1%
12/16/23,20:28,18.8*C,63.1%
12/16/23,20:29,18.8*C,63.0%
12/16/23,20:29,18.8*C,63.0%
12/16/23,20:30,18.8*C,62.9%
12/16/23,20:30,18.8*C,63.0%
12/16/23,20:31,18.9*C,62.9%
12/16/23,20:31,18.9*C,62.6%
12/16/23,20:32,18.9*C,62.6%
12/16/23,20:32,18.9*C,64.7%
12/16/23,20:33,19.0*C,63.4%
12/16/23,20:34,19.0*C,63.3%
12/16/23,20:35,19.0*C,62.6%
12/16/23,20:36,19.1*C,62.6%
12/16/23,20:37,19.0*C,62.4%
12/16/23,20:38,19.1*C,62.4%
12/16/23,20:39,19.1*C,62.5%
12/16/23,20:40,19.1*C,62.6%
12/16/23,20:41,19.1*C,62.5%
12/16/23,20:42,19.0*C,63.0%
12/16/23,20:43,19.0*C,63.1%
12/16/23,20:44,18.9*C,63.2%
12/16/23,20:45,18.9*C,63.2%
12/16/23,20:46,18.8*C,63.2%
12/16/23,20:47,18.9*C,63.1%
12/16/23,20:48,18.9*C,62.9%
12/16/23,20:49,18.9*C,62.8%
12/16/23,20:50,18.9*C,62.8%
12/16/23,20:51,18.9*C,62.9%
12/16/23,20:52,18.9*C,63.2%
12/16/23,20:53,19.0*C,63.3%
12/16/23,20:54,19.0*C,63.5%
12/16/23,20:55,19.0*C,63.3%
12/16/23,20:56,18.9*C,63.0%
12/16/23,20:57,19.0*C,62.9%
12/16/23,20:58,19.0*C,63.2%
12/16/23,20:59,19.0*C,63.3%
12/16/23,21:00,19.0*C,63.0%
12/16/23,21:01,19.0*C,63.7%
12/16/23,21:02,19.0*C,63.6%
12/16/23,21:03,19.0*C,63.1%
12/16/23,21:04,19.0*C,63.1%
12/16/23,21:05,19.0*C,63.3%
12/16/23,21:06,18.9*C,63.4%
12/16/23,21:07,18.9*C,63.6%
12/16/23,21:08,18.9*C,64.5%
12/16/23,21:09,18.9*C,64.6%
12/16/23,21:10,19.0*C,64.4%
12/16/23,21:11,19.0*C,63.6%
12/16/23,21:12,19.1*C,63.6%
12/16/23,21:13,19.2*C,63.8%
12/16/23,21:14,19.3*C,63.7%
12/16/23,21:16,19.3*C,64.2%
12/16/23,21:17,19.4*C,62.9%
12/16/23,21:18,19.4*C,62.9%
12/16/23,21:19,19.5*C,62.6%
12/16/23,21:20,19.5*C,62.5%
12/16/23,21:21,19.4*C,63.9%
12/16/23,21:22,19.5*C,63.0%
12/16/23,21:23,19.5*C,64.5%
12/16/23,21:24,19.5*C,64.4%
12/16/23,21:25,19.5*C,62.6%
12/16/23,21:26,19.6*C,62.5%
12/16/23,21:27,19.6*C,63.2%
12/16/23,21:28,19.6*C,63.1%
12/16/23,21:29,19.7*C,62.1%
